source,target,link_type,direction,confidence,inferred
HADOOP-17757,HADOOP-17752,is blocked by,inward,1.0,False
HADOOP-17757,HADOOP-17754,is blocked by,inward,1.0,False
HADOOP-17666,HADOOP-17696,blocks,outward,1.0,False
HADOOP-17647,HADOOP-17661,blocks,outward,1.0,False
HADOOP-17426,HADOOP-17648,blocks,outward,1.0,False
HADOOP-17647,HADOOP-17644,is blocked by,inward,1.0,False
HADOOP-17386,HADOOP-17631,blocks,outward,1.0,False
HADOOP-17570,HADOOP-16870,is blocked by,inward,1.0,False
HADOOP-16829,HADOOP-17519,blocks,outward,1.0,False
HADOOP-17488,HADOOP-17467,requires,outward,1.0,False
HADOOP-17485,HADOOP-17467,requires,outward,1.0,False
HADOOP-17481,HADOOP-17467,requires,outward,1.0,False
HADOOP-17417,HADOOP-17416,requires,outward,1.0,False
HADOOP-17193,HADOOP-17399,blocks,outward,1.0,False
HADOOP-17224,HADOOP-17438,requires,outward,1.0,False
HADOOP-17125,HADOOP-17205,requires,outward,1.0,False
HADOOP-17114,HADOOP-17152,requires,outward,1.0,False
HADOOP-17103,HADOOP-17100,requires,outward,1.0,False
HADOOP-16866,HADOOP-16869,blocks,outward,1.0,False
HADOOP-16746,HADOOP-16697,is blocked by,inward,1.0,False
HADOOP-16465,HADOOP-16697,blocks,outward,1.0,False
HADOOP-16598,HADOOP-16600,blocks,outward,1.0,False
HADOOP-16210,HADOOP-16220,requires,outward,1.0,False
HADOOP-16210,HADOOP-16230,requires,outward,1.0,False
HADOOP-16210,HADOOP-16218,requires,outward,1.0,False
HADOOP-16207,HADOOP-16184,is blocked by,inward,1.0,False
HADOOP-17758,HADOOP-17728,inferred_depends_on,inferred,0.55,True
HADOOP-17583,HADOOP-17570,inferred_depends_on,inferred,0.55,True
HADOOP-17581,HADOOP-17482,inferred_depends_on,inferred,0.55,True
HADOOP-17405,HADOOP-17262,inferred_depends_on,inferred,0.55,True
HADOOP-17319,HADOOP-17288,inferred_depends_on,inferred,0.55,True
HADOOP-17315,HADOOP-17288,inferred_depends_on,inferred,0.55,True
HADOOP-16891,HADOOP-16882,inferred_depends_on,inferred,0.55,True
HADOOP-16620,HADOOP-16558,inferred_depends_on,inferred,0.55,True
HADOOP-16589,HADOOP-16557,inferred_depends_on,inferred,0.55,True
HADOOP-16433,HADOOP-16383,inferred_depends_on,inferred,0.55,True
HADOOP-17817,HADOOP-16425,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17817,HADOOP-16478,augmented_soft_depends_on,augmented,0.712,True
HADOOP-17817,HADOOP-16732,augmented_soft_depends_on,augmented,0.695,True
HADOOP-17816,HADOOP-17778,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17816,HADOOP-17766,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17816,HADOOP-17815,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17815,HADOOP-17778,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17815,HADOOP-17807,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17815,HADOOP-17816,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17813,HADOOP-16771,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17813,HADOOP-17513,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17813,HADOOP-17319,augmented_soft_depends_on,augmented,0.799,True
HADOOP-17812,HADOOP-16682,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17812,HADOOP-17688,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17812,HADOOP-17105,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17811,HADOOP-17526,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17811,HADOOP-17757,augmented_soft_depends_on,augmented,0.742,True
HADOOP-17811,HADOOP-16948,augmented_soft_depends_on,augmented,0.713,True
HADOOP-17810,HADOOP-16216,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17810,HADOOP-17608,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17810,HADOOP-17208,augmented_soft_depends_on,augmented,0.757,True
HADOOP-17809,HADOOP-16525,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17809,HADOOP-17029,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17809,HADOOP-17488,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17808,HADOOP-17161,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17808,HADOOP-17068,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17808,HADOOP-16310,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17807,HADOOP-17815,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17807,HADOOP-17778,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17807,HADOOP-17766,augmented_soft_depends_on,augmented,0.733,True
HADOOP-17806,HADOOP-16373,augmented_soft_depends_on,augmented,0.752,True
HADOOP-17806,HADOOP-17271,augmented_soft_depends_on,augmented,0.716,True
HADOOP-17806,HADOOP-17502,augmented_soft_depends_on,augmented,0.673,True
HADOOP-17805,HADOOP-16954,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17805,HADOOP-16704,augmented_soft_depends_on,augmented,0.682,True
HADOOP-17805,HADOOP-17748,augmented_soft_depends_on,augmented,0.656,True
HADOOP-17804,HADOOP-16435,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17804,HADOOP-16783,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17804,HADOOP-16398,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17803,HADOOP-16691,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17803,HADOOP-17295,augmented_soft_depends_on,augmented,0.793,True
HADOOP-17803,HADOOP-16572,augmented_soft_depends_on,augmented,0.751,True
HADOOP-17802,HADOOP-16846,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17802,HADOOP-16804,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17802,HADOOP-16420,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17801,HADOOP-17445,augmented_soft_depends_on,augmented,0.693,True
HADOOP-17801,HADOOP-17151,augmented_soft_depends_on,augmented,0.658,True
HADOOP-17800,HADOOP-17473,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17800,HADOOP-16726,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17800,HADOOP-16753,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17799,HADOOP-17090,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17799,HADOOP-17484,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17799,HADOOP-16603,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17798,HADOOP-16358,augmented_soft_depends_on,augmented,0.76,True
HADOOP-17798,HADOOP-16944,augmented_soft_depends_on,augmented,0.737,True
HADOOP-17798,HADOOP-16802,augmented_soft_depends_on,augmented,0.726,True
HADOOP-17797,HADOOP-17640,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17797,HADOOP-17737,augmented_soft_depends_on,augmented,0.783,True
HADOOP-17797,HADOOP-16937,augmented_soft_depends_on,augmented,0.743,True
HADOOP-17796,HADOOP-16283,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17796,HADOOP-16676,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17796,HADOOP-17625,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17795,HADOOP-17486,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17795,HADOOP-16848,augmented_soft_depends_on,augmented,0.75,True
HADOOP-17795,HADOOP-17811,augmented_soft_depends_on,augmented,0.709,True
HADOOP-17794,HADOOP-16972,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17794,HADOOP-17204,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17794,HADOOP-16876,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17793,HADOOP-17239,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17793,HADOOP-17121,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17793,HADOOP-16658,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17792,HADOOP-17019,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17792,HADOOP-17121,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17792,HADOOP-17571,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17790,HADOOP-16281,augmented_soft_depends_on,augmented,0.741,True
HADOOP-17790,HADOOP-16660,augmented_soft_depends_on,augmented,0.706,True
HADOOP-17790,HADOOP-17132,augmented_soft_depends_on,augmented,0.706,True
HADOOP-17789,HADOOP-17180,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17789,HADOOP-17095,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17789,HADOOP-16751,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17788,HADOOP-17487,augmented_soft_depends_on,augmented,0.745,True
HADOOP-17788,HADOOP-17683,augmented_soft_depends_on,augmented,0.682,True
HADOOP-17788,HADOOP-17387,augmented_soft_depends_on,augmented,0.675,True
HADOOP-17787,HADOOP-16195,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17787,HADOOP-16970,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17787,HADOOP-17345,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17786,HADOOP-17787,augmented_soft_depends_on,augmented,0.749,True
HADOOP-17786,HADOOP-16648,augmented_soft_depends_on,augmented,0.7,True
HADOOP-17786,HADOOP-17581,augmented_soft_depends_on,augmented,0.686,True
HADOOP-17785,HADOOP-17298,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17785,HADOOP-17078,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17785,HADOOP-17056,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17784,HADOOP-17812,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17784,HADOOP-17061,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17784,HADOOP-16799,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17783,HADOOP-17633,augmented_soft_depends_on,augmented,0.799,True
HADOOP-17783,HADOOP-17371,augmented_soft_depends_on,augmented,0.778,True
HADOOP-17783,HADOOP-17442,augmented_soft_depends_on,augmented,0.755,True
HADOOP-17782,HADOOP-16309,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17782,HADOOP-17298,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17782,HADOOP-17007,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17781,HADOOP-17535,augmented_soft_depends_on,augmented,0.722,True
HADOOP-17781,HADOOP-17149,augmented_soft_depends_on,augmented,0.718,True
HADOOP-17781,HADOOP-17213,augmented_soft_depends_on,augmented,0.699,True
HADOOP-17779,HADOOP-16963,augmented_soft_depends_on,augmented,0.759,True
HADOOP-17779,HADOOP-16833,augmented_soft_depends_on,augmented,0.717,True
HADOOP-17779,HADOOP-16461,augmented_soft_depends_on,augmented,0.67,True
HADOOP-17778,HADOOP-17815,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17778,HADOOP-17807,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17778,HADOOP-17816,augmented_soft_depends_on,augmented,0.8,True
HADOOP-17777,HADOOP-17529,augmented_soft_depends_on,augmented,0.8,True
